No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
373,LH,Laboratory Corporation of America Holdings,18232881152,218.00,1.01%,12161600000
374,MKC,"McCormick & Company, Incorporated",18196541440,67.81,-1.52%,6662200000
375,IEX,IDEX Corporation,18114637824,239.47,1.51%,3273900000
376,CINF,Cincinnati Financial Corporation,17787744256,113.54,-0.40%,10013000000
377,EPAM,"EPAM Systems, Inc.",17743210496,306.83,0.80%,4690540000
378,VTR,"Ventas, Inc.",17708328960,44.00,4.04%,4497827000
379,ENPH,"Enphase Energy, Inc.",17602512896,129.66,2.09%,2290786000
380,FDS,FactSet Research Systems Inc.,17570019328,461.32,-0.27%,2122909000
381,OMC,Omnicom Group Inc.,17510500352,88.44,0.06%,14692200000
382,AVY,Avery Dennison Corporation,17447845888,216.72,0.09%,8364300000
383,EXPD,"Expeditors International of Washington, Inc.",17359976448,120.64,0.87%,9300110000
384,CNP,"CenterPoint Energy, Inc.",17330966528,27.46,-0.15%,8696000000
385,LDOS,"Leidos Holdings, Inc.",17303676928,127.44,-0.33%,15438000000
386,HOLX,"Hologic, Inc.",17288011776,73.65,-0.20%,3969300000
387,CMS,CMS Energy Corporation,17118973952,58.14,1.34%,7462000000
388,TXT,Textron Inc.,17102292992,88.70,-0.42%,13683000000
389,RF,Regions Financial Corporation,17081681920,18.59,-0.24%,7023000000
390,SWKS,"Skyworks Solutions, Inc.",17054455808,106.44,1.45%,4644600000
391,MAS,Masco Corporation,17053762560,77.60,1.09%,7967000000
392,ATO,Atmos Energy Corporation,17004193792,112.73,-0.16%,3949815000
393,NTRS,Northern Trust Corporation,16955715584,82.66,0.65%,6749000000
394,FSLR,"First Solar, Inc.",16887484416,158.07,2.72%,3318602000
395,BBY,"Best Buy Co., Inc.",16783655936,77.92,-3.66%,43452000000
396,ALB,Albemarle Corporation,16765149184,142.80,3.59%,9617203000
397,CE,Celanese Corporation,16712715264,153.51,1.01%,10940000000
398,SYF,Synchrony Financial,16700945408,41.05,-0.61%,7662000000
399,AKAM,"Akamai Technologies, Inc.",16646239232,110.24,-0.61%,3811920000
400,L,Loews Corporation,16538420224,74.46,-0.89%,15901000000
401,EQT,EQT Corporation,16300203008,37.01,-0.38%,6908923000
402,TER,"Teradyne, Inc.",16208215040,105.91,2.24%,2676298000
403,PKG,Packaging Corporation of America,16149403648,180.19,-0.55%,7802400000
404,EG,"Everest Group, Ltd.",16050977792,369.92,0.28%,14587000000
405,POOL,Pool Corporation,15603575808,403.41,1.33%,5541595000
406,ESS,"Essex Property Trust, Inc.",15576815616,234.37,1.28%,1669395000
407,DPZ,"Domino's Pizza, Inc.",15569284096,447.23,-0.25%,4479358000
408,CF,"CF Industries Holdings, Inc.",15537885184,82.50,2.21%,6631000000
409,TRMB,Trimble Inc.,15318584320,62.35,1.90%,3798700000
410,MAA,"Mid-America Apartment Communities, Inc.",15297731584,127.63,1.55%,2148468000
411,NDSN,Nordson Corporation,15218272256,266.09,0.17%,2651348000
412,NWSA,News Corporation,15184668672,26.33,-2.05%,9965000000
413,NWS,News Corporation,15173353472,27.40,-2.11%,9965000000
414,VTRS,Viatris Inc.,15103845376,12.60,1.82%,15426900000
415,HST,"Host Hotels & Resorts, Inc.",14950151168,20.95,1.01%,5311000000
416,LW,"Lamb Weston Holdings, Inc.",14893416448,102.05,-0.16%,6345900000
417,ZBRA,Zebra Technologies Corporation,14882109440,289.64,3.64%,4584000000
418,UAL,"United Airlines Holdings, Inc.",14708193280,44.84,-1.43%,53717000000
419,SNA,Snap-on Incorporated,14617452544,277.30,0.59%,5108300000
420,CFG,"Citizens Financial Group, Inc.",14464608256,31.63,0.76%,7537000000
421,BEN,"Franklin Resources, Inc.",14438220800,27.43,-0.09%,7873400000
422,GEN,Gen Digital Inc.,13903746048,21.83,1.58%,3792000000
423,MRO,Marathon Oil Corporation,13879245824,24.60,1.44%,6697000000
424,LKQ,LKQ Corporation,13858232320,51.98,-0.59%,13866000000
425,DGX,Quest Diagnostics Incorporated,13802948608,124.68,-0.17%,9252000000
426,MGM,MGM Resorts International,13733366784,42.96,-0.74%,16164249000
427,SWK,"Stanley Black & Decker, Inc.",13732067328,89.57,0.31%,15781100000
428,CRL,"Charles River Laboratories International, Inc.",13575860224,264.38,4.01%,4129409000
429,BG,Bunge Limited,13527766016,93.11,-1.34%,59540000000
430,FOXA,Fox Corporation,13400545280,29.42,-1.24%,14557000000
431,FOX,Fox Corporation,13396000768,26.99,-1.42%,14557000000
432,CAG,"Conagra Brands, Inc.",13278979072,27.78,-1.07%,12171900000
433,KIM,Kimco Realty Corporation,13276395520,19.73,-0.15%,1783400000
434,INCY,Incyte Corporation,13258260480,59.05,1.18%,3695649000
435,KEY,KeyCorp,13251217408,14.19,-0.56%,5894000000
436,RVTY,"Revvity, Inc.",13219357696,107.12,-2.25%,2750571000
437,TAP,Molson Coors Beverage Company,13210205184,62.13,-0.46%,11702100000
438,AMCR,Amcor plc,13138141184,9.09,0.33%,14034000000
439,SJM,The J. M. Smucker Company,13006885888,122.54,1.97%,8207800000
440,PNR,Pentair plc,12950691840,78.33,0.69%,4104500000
441,CPB,Campbell Soup Company,12779546624,42.87,0.54%,9300000000
442,UDR,"UDR, Inc.",12779401216,35.94,1.24%,1627501000
443,JKHY,"Jack Henry & Associates, Inc.",12530329600,171.96,-1.04%,2160254000
444,KMX,"CarMax, Inc.",12523134976,79.30,0.38%,26631930000
445,AOS,A. O. Smith Corporation,12355549184,83.94,1.25%,3852800000
446,LNT,Alliant Energy Corporation,12223652864,47.73,-0.04%,4027000000
447,IP,International Paper Company,12139706368,35.05,-0.88%,18916000000
448,JNPR,"Juniper Networks, Inc.",12121631744,37.37,0.92%,5564500000
449,GL,Globe Life Inc.,11874956288,126.17,-0.60%,5447533000
450,PODD,Insulet Corporation,11834924032,169.25,3.20%,1697100000
451,RL,Ralph Lauren Corporation,11825597440,184.99,-0.50%,6604300000
452,IPG,"The Interpublic Group of Companies, Inc.",11816219648,31.20,-0.64%,10889300000
453,NRG,"NRG Energy, Inc.",11803109376,56.71,2.51%,28823000000
454,NI,NiSource Inc.,11693828096,26.13,0.27%,5505400000
455,TECH,Bio-Techne Corporation,11691940864,74.43,1.17%,1144999000
456,WRK,WestRock Company,11596921856,45.02,-0.60%,20006900000
457,HII,"Huntington Ingalls Industries, Inc.",11578695680,292.46,0.29%,11454000000
458,QRVO,"Qorvo, Inc.",11549131776,119.62,4.43%,3461221000
459,UHS,"Universal Health Services, Inc.",11500717056,171.17,2.46%,14281976000
460,REG,Regency Centers Corporation,11466110976,61.75,-0.32%,1322466000
461,WYNN,"Wynn Resorts, Limited",11343414272,101.21,-3.79%,6531897000
462,EVRG,"Evergy, Inc.",11283895296,49.12,-0.85%,5508200000
463,FFIV,"F5, Inc.",11171414016,189.97,1.47%,2805388000
464,ALLE,Allegion plc,11101897728,126.80,-0.84%,3650800000
465,DVA,DaVita Inc.,11082273792,126.92,-0.04%,12140147000
466,AES,The AES Corporation,10988139520,15.47,1.78%,12668000000
467,DAY,Dayforce Inc,10853949440,68.24,-2.18%,1513700000
468,TPR,"Tapestry, Inc.",10830662656,47.22,-0.65%,6726700000
469,TFX,Teleflex Incorporated,10493599744,223.00,0.09%,2974489000
470,PAYC,"Paycom Software, Inc.",10448831488,184.75,1.50%,1693674000
471,BXP,"Boston Properties, Inc.",10401979392,66.25,2.36%,3273569000
472,CTLT,"Catalent, Inc.",10336405504,57.19,-0.26%,4098000000
473,BBWI,"Bath & Body Works, Inc.",10320985088,45.68,-0.04%,7405000000
474,AAL,American Airlines Group Inc.,10253494272,15.66,-0.13%,52788000000
475,CPT,Camden Property Trust,10247630848,95.80,1.40%,1561755000
476,EMN,Eastman Chemical Company,10219488256,87.09,-0.74%,9210000000
477,MOS,The Mosaic Company,10175022080,31.63,1.51%,13696100000
478,HSIC,"Henry Schein, Inc.",9936585728,76.88,0.54%,12339000000
479,MTCH,"Match Group, Inc.",9624310784,35.91,-0.36%,3364504000
480,BIO,"Bio-Rad Laboratories, Inc.",9480684544,332.17,1.93%,2671262000
481,AIZ,"Assurant, Inc.",9379877888,180.46,-0.55%,11131600000
482,PEAK,"Healthpeak Properties, Inc.",9356658688,17.10,2.09%,2181003000
483,CZR,"Caesars Entertainment, Inc.",9292248064,42.96,-1.17%,11528000000
484,APA,APA Corporation,9170226176,30.41,2.08%,8192000000
485,CHRW,"C.H. Robinson Worldwide, Inc.",8635907072,73.88,-0.27%,17596443000
486,RHI,Robert Half International Inc.,8496678912,80.76,0.45%,6392517000
487,FRT,Federal Realty Investment Trust,8355839488,99.92,-0.92%,1132154000
488,ETSY,"Etsy, Inc.",8271926272,69.81,-2.62%,2748377000
489,MKTX,MarketAxess Holdings Inc.,8260460032,218.14,2.22%,752547000
490,NCLH,Norwegian Cruise Line Holdings Ltd.,8210923520,19.29,-0.52%,8549924000
491,MHK,"Mohawk Industries, Inc.",7733380096,121.41,2.35%,11135115000
492,PNW,Pinnacle West Capital Corporation,7718707712,68.05,-0.41%,4695991000
493,PARA,Paramount Global,7544769024,10.96,-0.72%,29652000000
494,BWA,BorgWarner Inc.,7157646848,31.15,0.06%,14198000000
495,FMC,FMC Corporation,7149938688,57.31,1.63%,4486800000
496,XRAY,DENTSPLY SIRONA Inc.,7048582144,33.27,1.81%,3965000000
497,IVZ,Invesco Ltd.,6976138240,15.53,0.78%,5716400000
498,HAS,"Hasbro, Inc.",6972891136,50.28,-0.02%,5003300000
499,GNRC,Generac Holdings Inc.,6881548800,114.18,1.48%,4022667000
500,CMA,Comerica Incorporated,6540822016,49.59,0.43%,3503000000
501,VFC,V.F. Corporation,6314371584,16.24,-0.61%,10820471000
502,WHR,Whirlpool Corporation,5836504064,106.81,-0.54%,19455000000
503,ZION,"Zions Bancorporation,NA",5743969792,38.77,-1.67%,2983000000
